vote,age,gender,degree,locality,katz_centrality
0,17,M,5,unkown,0.00323
0,22,M,1,unkown,0.00267
0,21,M,15,"Osijek, Croatia",0.00392
0,28,F,18,"Donja Lomnica, Croatia",0.00621
0,18,F,6,"Dublin, Ireland",0.00309
0,24,M,5,"Zagreb, Croatia",0.003
0,22,F,2,unkown,0.00273
0,36,F,1,"Zagreb, Croatia",0.00296
0,16,F,2,"Vinkovci, Croatia",0.00271
0,24,M,10,unkown,0.00419
0,18,F,7,"Liverpool, Merseyside, UK",0.00379
0,22,M,27,unkown,0.01336
0,28,M,2,unkown,0.00281
0,32,M,3,"Vitez, Bosnia and Herzegovina",0.00277
0,19,M,7,"Zagreb, Croatia",0.0032
0,26,M,4,unkown,0.0043
0,26,F,1,"Zagreb, Croatia",0.00271
0,45,F,9,"Split, Croatia",0.00372
0,23,F,2,"Split, Croatia",0.00279
0,36,M,1,"Metkovic, Croatia",0.00269
0,17,F,5,unkown,0.00308
0,34,F,3,"21230, Sinj, Croatia",0.00446
0,22,M,68,unkown,0.01613
0,19,M,8,"42231, Novo Selo Podravsko, Croatia",0.00311
0,34,M,8,unkown,0.00373
0,32,M,1,"Dubrovnik, Croatia",0.00267
0,24,F,4,"Slavonski Brod, Croatia",0.00283
0,27,F,5,unkown,0.004
0,20,M,16,"Zagreb, Croatia",0.00464
0,25,M,4,unkown,0.00357
0,30,F,3,"Podgorica, Montenegro",0.00299
0,22,F,6,"Zadar, Croatia",0.00312
0,23,M,42,"Zagreb, Croatia",0.01381
0,27,F,15,unkown,0.0053
0,28,F,2,"Sarajevo, Bosnia and Herzegovina",0.00272
0,24,M,3,unkown,0.00278
0,29,F,13,"Zagreb, Croatia",0.00668
0,17,F,8,"Valpovo, Croatia",0.00451
0,26,F,3,"Bibinje, Croatia",0.00278
0,18,F,2,"Velika Gorica, Croatia",0.00271
0,25,F,8,"Rijeka, Croatia",0.00368
0,20,M,3,unkown,0.00294
0,22,F,4,"Canowindra NSW 2804, Australia",0.00284
0,18,F,2,"Dakovo, Croatia",0.00272
0,19,M,1,unkown,0.00276
0,26,M,22,"Zagreb, Croatia",0.0084
0,38,F,1,unkown,0.00266
0,18,M,1,unkown,0.00269
0,33,M,2,"Tenja, Croatia",0.00294
0,23,F,168,"Zagreb, Croatia",0.08538
0,20,F,2,"Split, Croatia",0.00272
0,34,M,18,"Zagreb, Croatia",0.00642
0,20,F,2,unkown,0.00277
0,80,M,4,unkown,0.00409
0,28,M,7,"Vienna, Austria",0.00332
0,48,F,3,"Zagreb, Croatia",0.00282
0,18,F,3,"Gudci, Croatia",0.00281
0,33,F,3,"Salvador - Bahia, Brazil",0.00294
0,17,F,2,"Koncanica, Croatia",0.00272
0,18,M,6,"Zagreb, Croatia",0.00366
0,29,F,43,"Zagreb, Croatia",0.01444
0,23,F,11,"Zagreb, Croatia",0.00411
0,29,M,8,"Slavonski Brod, Croatia",0.00335
0,32,F,3,"Vrbovec Samoborski, Croatia",0.00329
0,19,F,21,"Split, Croatia",0.0108
0,34,M,2,"Zapresic, Croatia",0.00287
0,20,M,11,"Samobor, Croatia",0.00432
0,20,M,6,"Zagreb, Croatia",0.00352
0,19,M,7,"Zagreb, Croatia",0.00303
0,24,M,6,unkown,0.004
0,53,F,2,"Zagreb, Croatia",0.00301
0,71,M,3,"Zagreb, Croatia",0.00289
0,27,F,3,"Zagreb, Croatia",0.00284
